City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Betafo,MG,52.14,overcast clouds,-19.8333,46.85,CHEZ MALALA
Beyneu,KZ,65.53,clear sky,45.3167,55.2,NUR
Biak,ID,77.22,overcast clouds,-0.9131,122.8766,Penginapan Kim
Bichura,RU,41.07,overcast clouds,50.5881,107.6022,Gostinitsa Uyut
Bilibino,RU,66.9,clear sky,68.0546,166.4372,Gostinitsa Severyanka
Biloela,AU,62.1,clear sky,-24.4167,150.5,Silo Motor Inn
Bima,ID,75.74,scattered clouds,-8.4667,118.7167,Lambitu Hotel
Birjand,IR,79.92,clear sky,32.8663,59.2211,Birjand Tourist Hotel
Bisira,PA,66.25,broken clouds,8.5196,-81.7115,
Bluff,NZ,49.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
Boca do Acre,BR,74.88,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
Boende,CD,70.25,overcast clouds,-0.2167,20.8667,
Bom Jesus,BR,78.35,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
Boma,GH,73.38,scattered clouds,7.0805,-2.1697,Obaatanpa Hotel
Bonavista,CA,39.16,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
Bontang,ID,77.95,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
Borogontsy,RU,55.72,overcast clouds,62.6683,131.1683,
Borovoy,RU,56.48,clear sky,55.4333,86.0833,Tsimus
Boyolangu,ID,74.68,scattered clouds,-8.1181,111.8935,Yos ega cv
Brae,GB,48.11,scattered clouds,60.3964,-1.353,Busta House Hotel
Bredasdorp,ZA,57.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
Broken Hill,AU,52.7,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
Buin,CL,62.74,overcast clouds,-33.7333,-70.75,Paihuen
Burnie,AU,55.89,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
Burns Lake,CA,56.35,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
Busselton,AU,46.09,clear sky,-33.65,115.3333,Observatory Guest House
Cabudare,VE,73.09,overcast clouds,10.0289,-69.0894,Urbanización Ribera Santa Lucia
Cairns,AU,72.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
Calvià,ES,65.91,clear sky,39.5657,2.5062,Castell Son Claret
Camacha,PT,63.36,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
Camacupa,AO,53.55,broken clouds,-12.0167,17.4833,
Camaná,PE,64.08,scattered clouds,-16.6228,-72.7111,Hostal Morales
Camiri,BO,68.16,overcast clouds,-20.05,-63.5167,J R Hotel
Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
Cape Town,ZA,72.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
Carnarvon,AU,60.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
Carnot,CF,67.96,broken clouds,4.9409,15.8665,
Carutapera,BR,74.8,moderate rain,-1.195,-46.02,Lidera
Cassilândia,BR,74.53,scattered clouds,-19.1133,-51.7342,Delirius Motel
Castro,BR,60.35,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
Charyshskoye,RU,46.35,clear sky,51.3978,83.5598,Gostinitsa Charysh
Chernyshevskiy,RU,42.33,clear sky,63.0128,112.4714,Chernyseyskiy
Chifeng,CN,67.62,light rain,42.2683,118.9636,Junyu Tiancheng Hotel
Chimbote,PE,65.26,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
Chokurdakh,RU,38.88,overcast clouds,70.6333,147.9167,
Chumikan,RU,40.71,overcast clouds,54.7183,135.315,Fortuna
Chui,UY,50.38,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
Cidreira,BR,63.05,light rain,-30.1811,-50.2056,Hotel Castelo
Clyde River,CA,34.03,overcast clouds,70.4692,-68.5914,Qamaq Hotel
Codrington,AU,57.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
Cody,US,79.92,scattered clouds,44.5263,-109.0565,Buffalo Bill (Cabins) Village
Coyhaique,CL,44.55,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
Colac,AU,55.62,overcast clouds,-38.3333,143.5833,Otway Gate Motel
College,US,69.66,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
Comodoro Rivadavia,AR,49.86,clear sky,-45.8667,-67.5,Austral Hotel
Constitución,CL,51.93,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
Copiapó,CL,61.11,clear sky,-27.3667,-70.3333,San Francisco de La Selva
Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Punto de encuentro
Cuamba,MZ,60.48,scattered clouds,-14.8031,36.5372,Hotel Vision
Dalby,AU,56.71,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
Dalvik,IS,51.17,broken clouds,65.9702,-18.5286,Dalvík HI Hostel
Darhan,MN,44.13,overcast clouds,49.4867,105.9228,Buudai Hotel
Daru,PG,77.4,overcast clouds,-9.0763,143.2092,Daru Lodge
Dashitou,CN,56.97,clear sky,43.3067,128.5114,大林宾馆
Deputatsky,RU,43.63,clear sky,69.3,139.9,Baza Otdykha
Dingle,PH,78.48,light rain,10.9995,122.6711,SEGAYA PROPERTY
Dinguiraye,GN,79.0,scattered clouds,11.3,-10.7167,
Domoni,KM,77.49,broken clouds,-12.2569,44.5319,Al Djadid
Dongsheng,CN,67.71,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
Donja Dubica,BA,66.27,overcast clouds,45.075,18.4114,"Gazdinstvo ""Mićo I sinovi"""
Durban,ZA,60.03,clear sky,-29.8579,31.0292,Hilton Durban
East London,ZA,62.28,clear sky,-33.0153,27.9116,Tu Casa
Emerald,AU,59.34,clear sky,-23.5333,148.1667,The Irish Village
Erenhot,CN,70.74,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
Esperance,AU,57.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
Evensk,RU,43.97,overcast clouds,61.95,159.2333,
Exeter,GB,57.49,clear sky,50.7236,-3.5275,Queens Court Hotel
Eyl,SO,78.64,clear sky,7.9803,49.8164,Amiin Hotel
Fairbanks,US,68.34,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
Faranah,GN,76.95,few clouds,10.0404,-10.7434,Chez mon oncle
Faya,SA,70.32,clear sky,18.3851,42.4509,مقبرة ال مجمل
Flinders,AU,60.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
Fortuna,US,72.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Gafanha da Encarnação,PT,62.28,clear sky,40.6181,-8.733,Hotel Barra
Gália,BR,72.59,scattered clouds,-22.2914,-49.5528,Galia Hotel
Galle,LK,79.88,overcast clouds,6.0367,80.217,Amangalla
Gamba,GA,75.13,overcast clouds,-2.65,10.0,
Kiryat Gat,IL,68.68,clear sky,31.61,34.7642,OlusHome
Gboko,NG,75.11,light rain,7.3179,8.9951,Mavillah Apartment and Suites
General Pico,AR,48.6,overcast clouds,-35.6566,-63.7568,Hotel Malargue
General Roca,AR,52.5,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
Ginir,ET,55.98,broken clouds,7.1333,40.7,Sura Dare Village
Gold Coast,AU,65.03,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
Gorontalo,ID,76.42,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
Grand Gaube,MU,71.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
Gravdal,NO,53.08,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
Grindavik,IS,48.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
Guaduas,CO,78.67,overcast clouds,5.0669,-74.595,Hotel Jordan
Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
Gubkinskiy,RU,37.58,clear sky,64.434,76.5026,MonarcH
Guerrero Negro,MX,69.49,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
Haimen,CN,76.89,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
Hambantota,LK,79.45,overcast clouds,6.1241,81.1185,Bungalow 63
Kumul,CN,64.26,scattered clouds,42.8,93.45,Laoyutang Resort
Hammerfest,NO,39.65,clear sky,70.6634,23.6821,Skytterhuset
Hanmer Springs,NZ,47.34,overcast clouds,-42.5167,172.8167,The Chalets Motel
Harper,LR,78.06,light rain,4.375,-7.7169,Screensaver
Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
Havøysund,NO,40.08,clear sky,70.9963,24.6622,Arctic View Glamping & Restaurant
Hay River,CA,49.98,broken clouds,60.8156,-115.7999,Ptarmigan Inn
Hemsedal,NO,54.32,scattered clouds,60.8629,8.5534,Hemsetunet Estate AS
Hengyang,CN,72.77,scattered clouds,26.8881,112.615,Honglin Guesthouse
Hermanus,ZA,66.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
Hervey Bay,AU,67.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
Hobart,AU,57.25,light rain,-42.8794,147.3294,Mantra on Collins Hobart
Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
Hofn,IS,46.99,light rain,64.2539,-15.2082,Hótel Höfn
Hokitika,NZ,53.74,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
Honningsvåg,NO,40.23,clear sky,70.9821,25.9704,Nordkapp Vandrerhjem
Khovd,MN,46.08,clear sky,48.0056,91.6419,Hotel Khovd
Hrebinka,UA,53.83,overcast clouds,50.1171,32.4361,
Hriňová,SK,57.2,scattered clouds,48.5779,19.5257,Chata Milan pod Poľanou
Hualmay,PE,64.92,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
Huánuco,PE,64.27,overcast clouds,-9.9329,-76.2415,Sweet Dreams
Huilong,CN,75.04,moderate rain,31.8111,121.655,Hilton Garden Inn Qidong
Husavik,IS,51.71,broken clouds,66.0449,-17.3389,Bjarnabúð
Ibrā’,OM,78.69,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
Igaci,BR,68.74,clear sky,-9.5369,-36.6336,JE Hotel
Igarka,RU,32.88,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
Ilhabela,BR,69.53,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
Illapel,CL,57.51,overcast clouds,-31.6308,-71.1653,Hotel Londres
Inuvik,CA,51.17,clear sky,68.3499,-133.7218,Nova Inn Inuvik
Inverell,AU,55.67,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
Ipameri,BR,71.98,overcast clouds,-17.7219,-48.1597,Real Hotel
Iqaluit,CA,33.53,light snow,63.7506,-68.5145,Frobisher Inn
Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
Isetskoye,RU,54.43,few clouds,56.4858,65.3226,"Belyye Rosy, Gostinitsa"
İskilip,TR,52.05,clear sky,40.7353,34.4739,İskilip Öğretmenevi
Itarema,BR,77.4,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Itoman,JP,75.97,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
Ivanava,BY,54.7,scattered clouds,52.1451,25.5365,Bed&Breakfast Valeria
Iwanai,JP,62.65,overcast clouds,42.9744,140.5089,いわない高原ホテル
Jacareacanga,BR,78.8,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
Jalu,LY,74.97,clear sky,29.0331,21.5482,صاحبة الفخامة
Jatiroto,ID,72.32,scattered clouds,-7.8833,111.1167,Mushola Al Huda
Jauja,PE,52.45,broken clouds,-11.7758,-75.4966,Hotel TunanMarca
Jieshi,CN,77.27,few clouds,22.8134,115.8257,Yuehai Hotel
Jumla,NP,54.36,few clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
Juneau,US,54.21,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
Kabale,UG,55.54,broken clouds,-1.2486,29.9899,Kwanzi
Kaeo,NZ,60.33,moderate rain,-35.1,173.7833,Bushido Lodge
Kaitangata,NZ,49.15,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
Kalengwa,ZM,54.77,few clouds,-13.4659,25.0027,
Kamaishi,JP,68.95,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
Kangaatsiaq,GL,37.4,scattered clouds,68.3065,-53.4641,
Kansk,RU,50.97,broken clouds,56.2017,95.7175,Хостел в Канске
Karoi,ZW,48.47,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
Karpathos,GR,68.65,clear sky,35.507,27.2132,Alex
Karratha,AU,74.23,broken clouds,-20.7377,116.8463,ibis Styles Karratha
Kasempa,ZM,54.88,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
Katangli,RU,39.69,overcast clouds,51.7102,143.2326,
Katherine,AU,62.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
Katsuura,JP,73.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Kautokeino,NO,48.24,clear sky,69.0125,23.0412,Thon Hotel Kautokeino
Kawalu,ID,71.01,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
Keningau,MY,73.85,overcast clouds,5.3378,116.1602,Sabindo Hotel
Kerema,PG,76.71,light rain,-7.9631,145.7785,Frena Lodge
Ketchikan,US,53.58,light rain,55.3422,-131.6461,Snows Cove Lodge
Khandyga,RU,61.34,overcast clouds,62.6667,135.6,Apel'sin
Kharp,RU,33.73,clear sky,66.8014,65.8081,"Hotel ""Sob"""
Khāsh,IR,78.19,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
Khatanga,RU,34.41,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
Khomeyn,IR,69.76,clear sky,33.6423,50.0789,موبایل مزدک (سجاد)
Khuzdar,PK,77.49,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
Kikwit,CD,71.11,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
Kismayo,SO,76.5,light rain,-0.3582,42.5454,Agan-Hotel
Kiunga,PG,75.2,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
Klaksvík,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
Koch Bihār,IN,75.72,few clouds,26.3167,89.4333,Hotel Yubraj
Saint Paul Harbor,US,55.89,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
Kolomna,RU,57.45,overcast clouds,55.0794,38.7783,Kolomna Hotel
Korla,CN,70.47,scattered clouds,41.7597,86.1469,Gulisitan Hotel
Kortkeros,RU,57.2,broken clouds,61.8106,51.5806,SCP FOUNDATION
Koungou,YT,78.51,overcast clouds,-12.7336,45.2042,Villa Netibor
Kralendijk,BQ,79.97,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
Krasnoarmeysk,RU,60.3,scattered clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
Kruisfontein,ZA,56.55,clear sky,-34.0033,24.7314,Oyster Bay House Rental
Kungurtug,RU,37.99,overcast clouds,50.5994,97.5228,
Kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
Kurumkan,RU,51.33,overcast clouds,54.3,110.3,Ilikchin
Kyra,RU,62.2,overcast clouds,49.5776,111.9753,
Lagoa,PT,63.82,overcast clouds,39.05,-27.9833,Casa Das Faias
Lakes Entrance,AU,56.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
Laas,IT,58.62,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
Lata,PT,59.81,clear sky,40.1629,-8.3327,Casa Maquia
Lavrentiya,RU,34.79,light rain,65.5833,-171.0,
Lebu,CL,48.79,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
Leningradskiy,RU,41.85,few clouds,69.3833,178.4167,
Liaoyang,CN,66.52,clear sky,41.2719,123.1731,Jinjiang Inn Style Liaoyang Xiangyu Avenue
Liku,ID,73.85,light rain,-0.7275,119.8922,Kost Raisa & homestay
Linqiong,CN,78.78,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
Linxia Chengguanzhen,CN,57.38,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
Llata,PE,53.31,overcast clouds,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
Lompoc,US,76.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Longyearbyen,SJ,35.44,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
Los Llanos de Aridane,ES,64.15,overcast clouds,28.6585,-17.9182,Valle Aridane
Los Reyes Acaquilpan,MX,76.75,broken clouds,19.35,-98.9667,Hotel Cabaña Real
Luga,RU,55.2,broken clouds,58.7372,29.8453,U Lysoy Gory Hotel
Lukovetskiy,RU,35.58,clear sky,64.2956,41.9211,Gostinitsa
Lys'va,RU,55.31,broken clouds,58.1086,57.8053,Center Hotel
Lyuban',BY,54.34,clear sky,52.7985,28.0048,
Mackay,AU,66.04,overcast clouds,-21.15,149.2,International Lodge Motel
Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
Mahébourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Makushino,RU,54.36,clear sky,55.2103,67.2442,Cristina Hotel
Malartic,CA,73.22,light rain,48.1335,-78.1328,Camping Regional De Malartic
Mana,GF,76.14,overcast clouds,5.6592,-53.7767,LE SAMANA
Mandalgovi,MN,44.74,clear sky,45.7625,106.2708,В.Ганбат
Mandurah,AU,48.97,few clouds,-32.55,115.7,Atrium Hotel Mandurah
Mankono,CI,76.48,light rain,8.0586,-6.1897,Hotel Cajoux
Mapiri,BO,67.86,broken clouds,-15.25,-68.1667,
Mar del Plata,AR,54.12,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
Maragogi,BR,75.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Marang,MY,78.19,overcast clouds,5.2056,103.2059,DBarakah Homestay
Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
Marília,BR,67.17,scattered clouds,-22.2139,-49.9458,Hotel Tenda
Marsá Maţrūḩ,EG,69.6,clear sky,31.3525,27.2453,Beau Site
Marsabit,KE,63.36,few clouds,2.3284,37.9899,Chicho Hotel
Marsh Harbour,BS,79.52,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
Matara,LK,78.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
Mataura,NZ,49.48,broken clouds,-46.1927,168.8643,Ellie's Villa
Merauke,ID,76.5,overcast clouds,-8.4667,140.3333,
Meulaboh,ID,74.19,moderate rain,4.1363,96.1285,Kost Pria
Mingoyo,TZ,65.71,clear sky,-10.1,39.6333,CHIMBENDE LODGE
Mingyue,CN,59.61,few clouds,43.1069,128.9217,安图土地大厦
Marabu,MY,73.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
Mitú,CO,73.83,overcast clouds,1.1983,-70.1733,
Mizque,BO,59.07,scattered clouds,-17.941,-65.3402,Hotel Mizque Boutique
Moose Factory,CA,73.4,broken clouds,51.2585,-80.6094,Moosonee Lilypad
Morón,AR,53.02,light rain,-34.6534,-58.6198,Hotel Morón
Mount Isa,AU,60.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
Muisne,EC,76.57,overcast clouds,0.6,-80.0333,Quinta Samay
Mutoko,ZW,46.17,broken clouds,-17.397,32.2268,Mutoko Hotel
Mwanza,TZ,68.63,scattered clouds,-2.5167,32.9,Gold Crest Hotel
Mwinilunga,ZM,54.88,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
Nabire,ID,78.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
Nakhon Phanom,TH,74.71,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
Mossamedes,AO,74.14,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Namie,JP,70.97,overcast clouds,37.4833,141.0,いこいの村なみえ
Nanlong,CN,76.87,light rain,31.3533,106.0631,Demei Hotel
Nanortalik,GL,44.28,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
Narsaq,GL,46.04,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
Naze,JP,74.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
Necochea,AR,47.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
New Norfolk,AU,56.91,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
Newport,GB,59.11,clear sky,51.5877,-2.9984,ibis budget Newport
Nezhinskiy,RU,50.09,light rain,43.9283,42.6856,Гостевой Дом «Rest-Exclusive»
Nhamundá,BR,79.99,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
Níjar,ES,65.84,clear sky,36.9665,-2.206,La Casa del Cine
Nikolskoye,RU,60.69,broken clouds,59.7035,30.7861,Tourist House - Sablino
Nishihara,JP,75.25,light rain,26.1842,127.7558,Minshuku Agaihama
Nizhnevartovsk,RU,37.42,clear sky,60.9344,76.5531,Gostinichnyy Kompleks Samotlor
Nokaneng,BW,49.19,clear sky,-19.6667,22.2667,
Nome,US,37.17,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
Norman Wells,CA,51.84,light rain,65.282,-126.8329,Heritage Hotel
Norsup,VU,78.3,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
Northam,GB,56.3,few clouds,51.0333,-4.2167,Durrant House Hotel
Novikovo,RU,53.51,few clouds,51.1537,37.8879,
Nyakahanga,TZ,59.23,broken clouds,-1.6033,31.1414,Tindamanyire Guest House
Nyurba,RU,50.67,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
Oga,IT,51.69,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
Okha,RU,37.33,overcast clouds,53.5739,142.9478,Империя
Oktyabr'skoye,RU,55.54,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
Omboué,GA,75.94,overcast clouds,-1.5746,9.2618,Hotel Olako
Ossora,RU,40.46,overcast clouds,59.2353,163.0719,
Östersund,SE,55.62,light rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
Ostrovnoy,RU,37.96,clear sky,68.0531,39.5131,
Ous,RU,47.5,broken clouds,60.9058,61.5186,
Ovalle,CL,62.29,broken clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
